Date,Region,Initial_Claims_Statewide,Latest_Week,Previous_Week,WoW_Change,Year_Ago,OTY_Net_Change,OTY_Pct_Change,Unemployment Claims Index,NYC_to_State_Prop,isoweek,predicted_from_2020,2019_rolling_average
2020-03-21,New York City,79946,38382,6598,31784,5167,33215,6.43,13.5,0.480099067,12,0.45,5196
2020-03-28,New York City,365816,143798,38521,105277,5254,138544,26.37,3.7,0.393088329,13,0.45,5235.333333
2020-04-04,New York City,343538,147658,143798,3860,5285,142373,26.94,3.6,0.429815624,14,0.43,5214
2020-04-11,New York City,393541,184525,147658,36867,5103,179422,35.16,2.8,0.468883801,15,0.43,5217.333333
2020-04-18,New York City,204111,103165,184525,-81360,5264,97901,18.6,5.1,0.505435768,16,0.47,5668
2020-04-25,New York City,218175,109028,103165,5863,6637,102391,15.43,6.1,0.499727283,17,0.49,8508.666667
2020-05-02,New York City,194049,97794,109028,-11234,13625,84169,6.18,13.9,0.503965493,18,0.5,8547.666667
2020-05-09,New York City,198054,99493,97794,1699,5381,94112,17.49,5.4,0.502352894,19,0.5,8025
2020-05-16,New York City,228215,116871,99493,17378,5069,111802,22.06,4.3,0.512109195,20,0.51,5250
2020-05-23,New York City,188198,97872,116871,-18999,5300,92572,17.47,5.4,0.520048035,21,0.51,5208.666667
2020-05-30,New York City,81135,43703,97872,-54169,5257,38446,7.31,12,0.538645467,22,0.52,5474
2020-06-06,New York City,92939,48362,43703,4659,5865,42497,7.25,12.1,0.520362819,23,0.53,5619.333333
2020-06-13,New York City,94797,50013,48362,1651,5736,44277,7.72,11.5,0.527579987,24,0.53,5565.666667
2020-06-20,New York City,88594,44785,50013,-5228,5096,39689,7.79,11.4,0.505508274,25,0.52,5622.666667
2020-06-27,New York City,89339,43868,44785,-917,6036,37832,6.27,13.8,0.491028554,26,0.51,6930
2020-07-04,New York City,93142,48261,43868,4393,9658,38603,4,20,0.518144339,27,0.5,8992.333333
2020-07-11,New York City,91059,46256,48261,-2005,11283,34973,3.1,24.4,0.507978344,28,0.51,8784
2020-07-18,New York City,87824,46205,46256,-51,5411,40794,7.54,11.7,0.526109036,29,0.52,7312
2020-07-25,New York City,84800,46185,46205,-20,5242,40943,7.81,11.4,0.544634434,30,0.53,5308
2020-08-01,New York City,73861,39359,46185,-6826,5271,34088,6.47,13.4,0.532879327,31,0.53,5331
2020-08-08,New York City,52546,28447,39359,-10912,5480,22967,4.19,19.3,0.541373273,32,0.54,5466
2020-08-15,New York City,62408,33591,28447,5144,5647,27944,4.95,16.8,0.538248301,33,0.54,6646
2020-08-22,New York City,62487,34045,33591,454,8811,25234,2.86,25.9,0.544833325,34,0.54,7063
2020-08-29,New York City,63149,35196,34045,1151,6731,28465,4.23,19.1,0.557348493,35,0.55,6903
2020-09-05,New York City,64548,36944,35196,1748,5167,31777,6.15,14,0.572349259,36,0.56,5885.666667
2020-09-12,New York City,61766,36465,36944,-479,5759,30706,5.33,15.8,0.590373345,37,0.57,5282.333333
2020-09-19,New York City,69663,41463,36465,4998,4921,36542,7.43,11.9,0.595194005,38,0.59,5219.333333
2020-09-26,New York City,64602,39040,41463,-2423,4978,34062,6.84,12.8,0.604315656,39,0.6,5085.666667
2020-10-03,New York City,64072,39101,39040,61,5358,33743,6.3,13.7,0.610266575,40,0.6,5572.333333
2020-10-10,New York City,66292,38929,39101,-172,6381,32548,5.1,16.4,0.587235262,41,0.6,5674.666667
2020-10-17,New York City,54789,31971,38929,-6958,5285,26686,5.05,16.5,0.583529541,42,0.59,5582.666667
2020-10-24,New York City,51507,28451,31971,-3520,5082,23369,4.6,17.9,0.552371522,43,0.57,5125.666667
2020-10-31,New York City,45578,23239,28451,-5212,5010,18229,3.64,21.6,0.509873184,44,0.55,5274.333333
2020-11-07,New York City,43741,21623,23239,-1616,5731,15892,2.77,26.5,0.494341693,45,0.52,5328
