Day of Week,Date,Subways: % of Comparable Pre-Pandemic Day,7-day Averge,Subway Mobility Index,Avg. Ridership
7,2020-03-01,0.987,NA,NA,NA
1,2020-03-02,1.239,NA,NA,NA
2,2020-03-03,0.961,NA,NA,NA
3,2020-03-04,0.968,NA,NA,NA
4,2020-03-05,0.956,NA,NA,NA
5,2020-03-06,0.9159999999999999,NA,NA,NA
6,2020-03-07,0.904,0.9901428571428571,199.01428571428573,4587375.285714285
7,2020-03-08,1.004,0.9925714285714287,199.25714285714287,4574193.428571428
1,2020-03-09,0.8959999999999999,0.9435714285714286,194.35714285714286,4523133.428571428
2,2020-03-10,0.8490000000000001,0.9275714285714286,192.75714285714284,4435285.857142857
3,2020-03-11,0.815,0.9057142857142858,190.57142857142856,4320502.571428572
4,2020-03-12,0.716,0.8714285714285716,187.14285714285714,4127648
5,2020-03-13,0.62,0.8291428571428572,182.9142857142857,3883652.714285714
6,2020-03-14,0.525,0.7750000000000001,177.5,3720183.8571428573
7,2020-03-15,0.47600000000000003,0.6995714285714286,169.95714285714288,3582576.8571428573
1,2020-03-16,0.405,0.6294285714285716,162.94285714285715,3181814.1428571427
2,2020-03-17,0.318,0.5535714285714286,155.35714285714286,2740347.8571428573
3,2020-03-18,0.28600000000000003,0.4780000000000001,147.8,2299912.285714286
4,2020-03-19,0.256,0.41228571428571437,141.22857142857143,1908753.7142857143
5,2020-03-20,0.239,0.35785714285714293,135.78571428571428,1596680
6,2020-03-21,0.205,0.3121428571428572,131.21428571428572,1446374.5714285714
7,2020-03-22,0.16899999999999998,0.26828571428571435,126.82857142857142,1339272.4285714286
1,2020-03-23,0.131,0.22914285714285718,122.91428571428571,1128821.2857142857
2,2020-03-24,0.131,0.20242857142857146,120.24285714285713,978814.8571428572
3,2020-03-25,0.121,0.17885714285714288,117.88571428571429,844842.1428571428
4,2020-03-26,0.11800000000000001,0.1591428571428572,115.91428571428573,738607.7142857143
5,2020-03-27,0.11800000000000001,0.1418571428571429,114.18571428571428,645188.1428571428
6,2020-03-28,0.102,0.1271428571428572,112.71428571428572,604092.5714285715
7,2020-03-29,0.11699999999999999,0.11971428571428576,111.97142857142856,583343.2857142857
1,2020-03-30,0.098,0.11500000000000006,111.5,559802.8571428572
2,2020-03-31,0.08800000000000001,0.1088571428571429,110.8857142857143,526350.7142857143
3,2020-04-01,0.087,0.10400000000000005,110.4,501007.4285714286
4,2020-04-02,0.08199999999999999,0.0988571428571429,109.8857142857143,473085.28571428574
5,2020-04-03,0.085,0.0941428571428572,109.41428571428573,448212.14285714284
6,2020-04-04,0.086,0.0918571428571429,109.18571428571428,441027.85714285716
7,2020-04-05,0.091,0.08814285714285719,108.8142857142857,435811.28571428574
1,2020-04-06,0.08,0.08557142857142862,108.55714285714286,421513.85714285716
2,2020-04-07,0.076,0.0838571428571429,108.38571428571429,411023.71428571426
3,2020-04-08,0.073,0.08185714285714289,108.18571428571428,398738.71428571426
4,2020-04-09,0.07,0.0801428571428572,108.01428571428573,387146.85714285716
5,2020-04-10,0.07,0.07800000000000006,107.80000000000001,375253.5714285714
6,2020-04-11,0.078,0.07685714285714292,107.6857142857143,371648.4285714286
7,2020-04-12,0.08,0.07528571428571433,107.52857142857144,367518.4285714286
1,2020-04-13,0.065,0.07314285714285719,107.31428571428572,355759.5714285714
