predicted_from_2020,2019_rolling_average,isoweek
0.37,10431.66667,1
0.36,6874,2
0.37,6179,3
0.37,5879.333333,4
0.38,5813,5
0.38,5619.666667,6
0.38,8173,7
0.39,8231,8
0.4,8592.666667,9
0.41,5818.666667,10
0.43,5648,11
0.45,5196,12
0.45,5235.333333,13
0.43,5214,14
0.43,5217.333333,15
0.47,5668,16
0.49,8508.666667,17
0.5,8547.666667,18
0.5,8025,19
0.51,5250,20
0.51,5208.666667,21
0.52,5474,22
0.53,5619.333333,23
0.53,5565.666667,24
0.52,5622.666667,25
0.51,6930,26
0.5,8992.333333,27
0.51,8784,28
0.52,7312,29
0.53,5308,30
0.53,5331,31
0.54,5466,32
0.54,6646,33
0.54,7063,34
0.55,6903,35
0.56,5885.666667,36
0.57,5282.333333,37
0.59,5219.333333,38
0.6,5085.666667,39
0.6,5572.333333,40
0.6,5674.666667,41
0.59,5582.666667,42
0.57,5125.666667,43
0.55,5274.333333,44
0.52,5328,45
0.49,5474,46
0.48,5118.333333,47
0.45,5578.333333,48
0.42,5435.666667,49
0.42,5597,50
0.42,5358.333333,51
0.42,9144,52
0.42,10158,53
