Day of Week,Date,OpenTable YoY Seated Diner Data (%),7-day Average,Restaurant Reservations Index
2,2020-02-18,1,NA,NA
3,2020-02-19,11,NA,NA
4,2020-02-20,3,NA,NA
5,2020-02-21,0,NA,NA
6,2020-02-22,3,NA,NA
7,2020-02-23,13,NA,NA
1,2020-02-24,7,5.428571429,105.4285714
2,2020-02-25,1,5.428571429,105.4285714
3,2020-02-26,1,4,104
4,2020-02-27,-2,3.285714286,103.2857143
5,2020-02-28,1,3.428571429,103.4285714
6,2020-02-29,-2,2.714285714,102.7142857
7,2020-03-01,-2,0.571428571,100.5714286
1,2020-03-02,-6,-1.285714286,98.71428571
2,2020-03-03,-12,-3.142857143,96.85714286
3,2020-03-04,-12,-5,95
4,2020-03-05,-9,-6,94
5,2020-03-06,-15,-8.285714286,91.71428571
6,2020-03-07,-10,-9.428571429,90.57142857
7,2020-03-08,-4,-9.714285714,90.28571429
1,2020-03-09,-18,-11.42857143,88.57142857
2,2020-03-10,-30,-14,86
3,2020-03-11,-36,-17.42857143,82.57142857
4,2020-03-12,-52,-23.57142857,76.42857143
5,2020-03-13,-61,-30.14285714,69.85714286
6,2020-03-14,-64,-37.85714286,62.14285714
7,2020-03-15,-69,-47.14285714,52.85714286
1,2020-03-16,-77,-55.57142857,44.42857143
2,2020-03-17,-100,-65.57142857,34.42857143
3,2020-03-18,-100,-74.71428571,25.28571429
4,2020-03-19,-100,-81.57142857,18.42857143
5,2020-03-20,-100,-87.14285714,12.85714286
6,2020-03-21,-100,-92.28571429,7.714285714
7,2020-03-22,-100,-96.71428571,3.285714286
1,2020-03-23,-100,-100,0
2,2020-03-24,-100,-100,0
3,2020-03-25,-100,-100,0
4,2020-03-26,-100,-100,0
5,2020-03-27,-100,-100,0
6,2020-03-28,-100,-100,0
7,2020-03-29,-100,-100,0
1,2020-03-30,-100,-100,0
2,2020-03-31,-100,-100,0
3,2020-04-01,-100,-100,0
4,2020-04-02,-100,-100,0
5,2020-04-03,-100,-100,0
6,2020-04-04,-100,-100,0
7,2020-04-05,-100,-100,0
1,2020-04-06,-100,-100,0
2,2020-04-07,-100,-100,0
3,2020-04-08,-100,-100,0
4,2020-04-09,-100,-100,0
5,2020-04-10,-100,-100,0
6,2020-04-11,-100,-100,0
7,2020-04-12,-100,-100,0
1,2020-04-13,-100,-100,0
2,2020-04-14,-100,-100,0
3,2020-04-15,-100,-100,0
4,2020-04-16,-100,-100,0
5,2020-04-17,-100,-100,0
6,2020-04-18,-100,-100,0
7,2020-04-19,-100,-100,0
1,2020-04-20,-100,-100,0
2,2020-04-21,-100,-100,0
3,2020-04-22,-100,-100,0
4,2020-04-23,-100,-100,0
5,2020-04-24,-100,-100,0
6,2020-04-25,-100,-100,0
7,2020-04-26,-100,-100,0
1,2020-04-27,-100,-100,0
2,2020-04-28,-100,-100,0
3,2020-04-29,-100,-100,0
4,2020-04-30,-100,-100,0
5,2020-05-01,-100,-100,0
6,2020-05-02,-100,-100,0
7,2020-05-03,-100,-100,0
1,2020-05-04,-100,-100,0
2,2020-05-05,-100,-100,0
3,2020-05-06,-100,-100,0
4,2020-05-07,-100,-100,0
5,2020-05-08,-100,-100,0
6,2020-05-09,-100,-100,0
7,2020-05-10,-100,-100,0
1,2020-05-11,-99.98,-99.99714286,0.002857143
2,2020-05-12,-100,-99.99714286,0.002857143
3,2020-05-13,-100,-99.99714286,0.002857143
4,2020-05-14,-99.98,-99.99428571,0.005714286
5,2020-05-15,-99.96,-99.98857143,0.011428571
6,2020-05-16,-99.96,-99.98285714,0.017142857
7,2020-05-17,-99.96,-99.97714286,0.022857143
1,2020-05-18,-99.19,-99.86428571,0.135714286
2,2020-05-19,-99.36,-99.77285714,0.227142857
3,2020-05-20,-98.63,-99.57714286,0.422857143
4,2020-05-21,-99.12,-99.45428571,0.545714286
5,2020-05-22,-99.51,-99.39,0.61
6,2020-05-23,-99.5,-99.32428571,0.675714286
7,2020-05-24,-99.72,-99.29,0.71
1,2020-05-25,-99.66,-99.35714286,0.642857143
2,2020-05-26,-99.25,-99.34142857,0.658571429
3,2020-05-27,-98.69,-99.35,0.65
4,2020-05-28,-98.78,-99.30142857,0.698571429
5,2020-05-29,-99.27,-99.26714286,0.732857143
6,2020-05-30,-99.22,-99.22714286,0.772857143
7,2020-05-31,-99.52,-99.19857143,0.801428571
1,2020-06-01,-99.31,-99.14857143,0.851428571
2,2020-06-02,-99.32,-99.15857143,0.841428571
3,2020-06-03,-99.33,-99.25,0.75
4,2020-06-04,-99.3,-99.32428571,0.675714286
5,2020-06-05,-99.62,-99.37428571,0.625714286
6,2020-06-06,-99.49,-99.41285714,0.587142857
7,2020-06-07,-99.43,-99.4,0.6
1,2020-06-08,-99.77,-99.46571429,0.534285714
2,2020-06-09,-99.45,-99.48428571,0.515714286
3,2020-06-10,-99.15,-99.45857143,0.541428571
4,2020-06-11,-99.17,-99.44,0.56
5,2020-06-12,-99.62,-99.44,0.56
6,2020-06-13,-99.59,-99.45428571,0.545714286
7,2020-06-14,-99.58,-99.47571429,0.524285714
1,2020-06-15,-99.65,-99.45857143,0.541428571
2,2020-06-16,-99.67,-99.49,0.51
3,2020-06-17,-99.59,-99.55285714,0.447142857
4,2020-06-18,-99.24,-99.56285714,0.437142857
5,2020-06-19,-99.72,-99.57714286,0.422857143
6,2020-06-20,-99.63,-99.58285714,0.417142857
7,2020-06-21,-99.77,-99.61,0.39
1,2020-06-22,-97.45,-99.29571429,0.704285714
2,2020-06-23,-96.53,-98.84714286,1.152857143
3,2020-06-24,-95.96,-98.32857143,1.671428571
4,2020-06-25,-94.93,-97.71285714,2.287142857
5,2020-06-26,-93.73,-96.85714286,3.142857143
6,2020-06-27,-94.84,-96.17285714,3.827142857
7,2020-06-28,-94.59,-95.43285714,4.567142857
1,2020-06-29,-95.19,-95.11,4.89
2,2020-06-30,-94.42,-94.80857143,5.191428571
3,2020-07-01,-94.28,-94.56857143,5.431428571
4,2020-07-02,-89.52,-93.79571429,6.204285714
5,2020-07-03,-93.94,-93.82571429,6.174285714
6,2020-07-04,-92.18,-93.44571429,6.554285714
7,2020-07-05,-92.6,-93.16142857,6.838571429
1,2020-07-06,-96.22,-93.30857143,6.691428571
2,2020-07-07,-94.24,-93.28285714,6.717142857
3,2020-07-08,-95.07,-93.39571429,6.604285714
4,2020-07-09,-91.97,-93.74571429,6.254285714
5,2020-07-10,-98.4,-94.38285714,5.617142857
6,2020-07-11,-91.95,-94.35,5.65
7,2020-07-12,-89.23,-93.86857143,6.131428571
1,2020-07-13,-93.34,-93.45714286,6.542857143
2,2020-07-14,-92.1,-93.15142857,6.848571429
3,2020-07-15,-91.84,-92.69,7.31
4,2020-07-16,-90.7,-92.50857143,7.491428571
5,2020-07-17,-90.15,-91.33,8.67
6,2020-07-18,-87.83,-90.74142857,9.258571429
7,2020-07-19,-89.73,-90.81285714,9.187142857
1,2020-07-20,-93.6,-90.85,9.15
2,2020-07-21,-92.03,-90.84,9.16
3,2020-07-22,-95.68,-91.38857143,8.611428571
4,2020-07-23,-93.64,-91.80857143,8.191428571
5,2020-07-24,-90.55,-91.86571429,8.134285714
6,2020-07-25,-86.35,-91.65428571,8.345714286
7,2020-07-26,-89.14,-91.57,8.43
1,2020-07-27,-92.77,-91.45142857,8.548571429
2,2020-07-28,-92.02,-91.45,8.55
3,2020-07-29,-90.65,-90.73142857,9.268571429
4,2020-07-30,-91.22,-90.38571429,9.614285714
5,2020-07-31,-88.58,-90.10428571,9.895714286
6,2020-08-01,-85.06,-89.92,10.08
7,2020-08-02,-88.23,-89.79,10.21
1,2020-08-03,-91.35,-89.58714286,10.41285714
2,2020-08-04,-96.99,-90.29714286,9.702857143
3,2020-08-05,-88.56,-89.99857143,10.00142857
4,2020-08-06,-88.47,-89.60571429,10.39428571
5,2020-08-07,-89.76,-89.77428571,10.22571429
6,2020-08-08,-81.5,-89.26571429,10.73428571
7,2020-08-09,-83.78,-88.63,11.37
1,2020-08-10,-89.24,-88.32857143,11.67142857
2,2020-08-11,-88.75,-87.15142857,12.84857143
3,2020-08-12,-90.81,-87.47285714,12.52714286
4,2020-08-13,-90.4,-87.74857143,12.25142857
5,2020-08-14,-83.94,-86.91714286,13.08285714
6,2020-08-15,-80.4,-86.76,13.24
7,2020-08-16,-89.39,-87.56142857,12.43857143
1,2020-08-17,-86.85,-87.22,12.78
2,2020-08-18,-84.33,-86.58857143,13.41142857
3,2020-08-19,-86.91,-86.03142857,13.96857143
4,2020-08-20,-83.27,-85.01285714,14.98714286
5,2020-08-21,-78.57,-84.24571429,15.75428571
6,2020-08-22,-77.82,-83.87714286,16.12285714
7,2020-08-23,-80.32,-82.58142857,17.41857143
1,2020-08-24,-86.12,-82.47714286,17.52285714
2,2020-08-25,-85.83,-82.69142857,17.30857143
3,2020-08-26,-81.42,-81.90714286,18.09285714
4,2020-08-27,-88.66,-82.67714286,17.32285714
5,2020-08-28,-80.23,-82.91428571,17.08571429
6,2020-08-29,-82.03,-83.51571429,16.48428571
7,2020-08-30,-79.02,-83.33,16.67
1,2020-08-31,-83.2,-82.91285714,17.08714286
2,2020-09-01,-79.85,-82.05857143,17.94142857
3,2020-09-02,-84.06,-82.43571429,17.56428571
4,2020-09-03,-86.22,-82.08714286,17.91285714
5,2020-09-04,-79.23,-81.94428571,18.05571429
6,2020-09-05,-80.23,-81.68714286,18.31285714
7,2020-09-06,-73.57,-80.90857143,19.09142857
1,2020-09-07,-75.9,-79.86571429,20.13428571
2,2020-09-08,-87.02,-80.89,19.11
3,2020-09-09,-84.82,-80.99857143,19.00142857
4,2020-09-10,-90.23,-81.57142857,18.42857143
5,2020-09-11,-78.59,-81.48,18.52
6,2020-09-12,-75.55,-80.81142857,19.18857143
7,2020-09-13,-78.72,-81.54714286,18.45285714
1,2020-09-14,-84.14,-82.72428571,17.27571429
2,2020-09-15,-83.94,-82.28428571,17.71571429
3,2020-09-16,-81.51,-81.81142857,18.18857143
4,2020-09-17,-80.83,-80.46857143,19.53142857
5,2020-09-18,-79,-80.52714286,19.47285714
6,2020-09-19,-76.86,-80.71428571,19.28571429
7,2020-09-20,-77.95,-80.60428571,19.39571429
1,2020-09-21,-85.31,-80.77142857,19.22857143
2,2020-09-22,-83.07,-80.64714286,19.35285714
3,2020-09-23,-79.42,-80.34857143,19.65142857
4,2020-09-24,-79.6,-80.17285714,19.82714286
5,2020-09-25,-75.97,-79.74,20.26
6,2020-09-26,-73.62,-79.27714286,20.72285714
7,2020-09-27,-74.46,-78.77857143,21.22142857
1,2020-09-28,-81.38,-78.21714286,21.78285714
2,2020-09-29,-89.07,-79.07428571,20.92571429
3,2020-09-30,-77.91,-78.85857143,21.14142857
4,2020-10-01,-74.81,-78.17428571,21.82571429
5,2020-10-02,-73.29,-77.79142857,22.20857143
6,2020-10-03,-68.97,-77.12714286,22.87285714
7,2020-10-04,-72.44,-76.83857143,23.161428570000002
1,2020-10-05,-79.62,-76.58714286,23.41285714
2,2020-10-06,-76.87,-74.84428571,25.15571429
3,2020-10-07,-76.22,-74.60285714,25.39714286
4,2020-10-08,-77.69,-75.01428571,24.98571429
5,2020-10-09,-72.37,-74.88285714,25.11714286
6,2020-10-10,-68.51,-74.81714286,25.18285714
7,2020-10-11,-76.26,-75.36285714,24.63714286
1,2020-10-12,-88.62,-76.64857143,23.35142857
2,2020-10-13,-84.51,-77.74,22.26
3,2020-10-14,-73.98,-77.42,22.58
4,2020-10-15,-73.19,-76.77714286,23.22285714
5,2020-10-16,-82.3,-78.19571429,21.80428571
6,2020-10-17,-66.8,-77.95142857,22.04857143
7,2020-10-18,-68.88,-76.89714286,23.10285714
1,2020-10-19,-81.2,-75.83714286,24.16285714
2,2020-10-20,-78.49,-74.97714286,25.02285714
3,2020-10-21,-78.15,-75.57285714,24.42714286
4,2020-10-22,-78.38,-76.31428571,23.68571429
5,2020-10-23,-72.25,-74.87857143,25.12142857
6,2020-10-24,-66.73,-74.86857143,25.13142857
7,2020-10-25,-71.36,-75.22285714,24.77714286
1,2020-10-26,-84.97,-75.76142857,24.23857143
2,2020-10-27,-80.64,-76.06857143,23.93142857
3,2020-10-28,-79.16,-76.21285714,23.78714286
4,2020-10-29,-81.97,-76.72571429,23.27428571
5,2020-10-30,-80.02,-77.83571429,22.16428571
6,2020-10-31,-76.59,-79.24428571,20.75571429
7,2020-11-01,-81.73,-80.72571429,19.27428571
1,2020-11-02,-86.51,-80.94571429,19.05428571
2,2020-11-03,-89.66,-82.23428571,17.76571429
3,2020-11-04,-85.83,-83.18714286,16.81285714
4,2020-11-05,-79.51,-82.83571429,17.16428571
5,2020-11-06,-73.29,-81.87428571,18.12571429
6,2020-11-07,-67.96,-80.64142857,19.35857143
7,2020-11-08,-72.08,-79.26285714,20.73714286
1,2020-11-09,-79.79,-78.30285714,21.69714286
2,2020-11-10,-72.06,-75.78857143,24.21142857
3,2020-11-11,-82.91,-75.37142857,24.62857143
4,2020-11-12,-83.44,-75.93285714,24.06714286
5,2020-11-13,-79.94,-76.88285714,23.11714286
6,2020-11-14,-71.09,-77.33,22.67
7,2020-11-15,-79.08,-78.33,21.67
1,2020-11-16,-83.3,-78.83142857,21.16857143
2,2020-11-17,-84.83,-80.65571429,19.34428571
3,2020-11-18,-86.25,-81.13285714,18.86714286
4,2020-11-19,-83.99,-81.21142857,18.78857143
5,2020-11-20,-77.02,-80.79428571,19.20571429
6,2020-11-21,-73.1,-81.08142857,18.91857143
7,2020-11-22,-80.01,-81.21428571,18.78571429
1,2020-11-23,-87.04,-81.74857143,18.25142857
2,2020-11-24,-86.58,-81.99857143,18.00142857
3,2020-11-25,-85.79,-81.93285714,18.06714286
4,2020-11-26,-84.31,-81.97857143,18.02142857
5,2020-11-27,-83.73,-82.93714286,17.06285714
6,2020-11-28,-79.68,-83.87714286,16.12285714
7,2020-11-29,-74.05,-83.02571429,16.97428571
1,2020-11-30,-91.01,-83.59285714,16.40714286
2,2020-12-01,-88.24,-83.83,16.17
3,2020-12-02,-89.42,-84.34857143,15.65142857
4,2020-12-03,-87.16,-84.75571429,15.24428571
5,2020-12-04,-86.81,-85.19571429,14.80428571
6,2020-12-05,-83.79,-85.78285714,14.21714286
7,2020-12-06,-82.73,-87.02285714,12.97714286
1,2020-12-07,-90.22,-86.91,13.09
2,2020-12-08,-90.08,-87.17285714,12.82714286
3,2020-12-09,-89.7,-87.21285714,12.78714286
4,2020-12-10,-87.52,-87.26428571,12.73571429
5,2020-12-11,-81.07,-86.44428571,13.55571429
6,2020-12-12,-78.3,-85.66,14.34
7,2020-12-13,-75.89,-84.68285714,15.31714286
1,2020-12-14,-96.24,-85.54285714,14.45714286
2,2020-12-15,-94.06,-86.11142857,13.88857143
3,2020-12-16,-98.88,-87.42285714,12.57714286
4,2020-12-17,-98.09,-88.93285714,11.06714286
