Week of Year,Week Ending,10-yr Median Model,Rental Inventory,Indexed to January Average,Difference,Rental Inventory Index
1,2020-01-04,0.9891,15632,0.9531,0.036377034,96.5
2,2020-01-11,0.9891,16852,1.0253,0.036617225,96.5
3,2020-01-18,0.9891,16773,1.0183,0.029556336,97.1
4,2020-01-25,0.9891,16210,0.982,0.007129069,99.3
5,2020-02-01,0.9811,16618,1.0046,0.023897698,97.7
6,2020-02-08,0.9811,16147,0.974,0.007258738,99.3
7,2020-02-15,0.9811,15955,0.9603,0.021174126,97.9
8,2020-02-22,0.9811,15646,0.9397,0.04220108,96
9,2020-02-29,1.0659,15859,0.9504,0.108296884,90.2
10,2020-03-07,1.0659,16649,0.9956,0.065905194,93.8
11,2020-03-14,1.0659,16458,0.9821,0.078625615,92.7
12,2020-03-21,1.0659,14870,0.8854,0.169338156,85.5
13,2020-03-28,1.0659,13104,0.7785,0.269585593,78.8
14,2020-04-04,1.0775,13470,0.7985,0.258930527,79.4
15,2020-04-11,1.0775,13421,0.7939,0.263243117,79.2
16,2020-04-18,1.0775,14249,0.841,0.219505912,82
17,2020-04-25,1.0775,15888,0.9357,0.131643084,88.4
18,2020-05-02,1.1359,18069,1.0618,0.065269241,93.9
19,2020-05-09,1.1359,20728,1.2153,0.069915287,93.5
20,2020-05-16,1.1359,22525,1.3178,0.160096829,86.2
21,2020-05-23,1.1359,24409,1.4248,0.254338455,79.7
22,2020-05-30,1.1359,25620,1.4922,0.313642035,76.1
23,2020-06-06,1.1893,29121,1.6923,0.423024172,70.3
24,2020-06-13,1.1893,31320,1.8161,0.527061697,65.5
25,2020-06-20,1.1893,33004,1.9094,0.605565658,62.3
26,2020-06-27,1.1893,34936,2.0167,0.695739535,59
27,2020-07-04,1.2042,36593,2.1076,0.750135134,57.1
28,2020-07-11,1.2042,40351,2.3188,0.925519594,51.9
29,2020-07-18,1.2042,41592,2.3847,0.980255833,50.5
30,2020-07-25,1.2042,42470,2.4295,1.017480697,49.6
31,2020-08-01,1.1728,43325,2.4728,1.108472359,47.4
32,2020-08-08,1.1728,46034,2.6214,1.235214478,44.7
33,2020-08-15,1.1728,47306,2.6877,1.291741382,43.6
34,2020-08-22,1.1728,47573,2.6967,1.299410673,43.5
35,2020-08-29,1.1728,47268,2.6733,1.279436913,43.9
36,2020-09-05,1.0496,47404,2.6748,1.548344003,39.2
37,2020-09-12,1.0496,48081,2.7068,1.57879201,38.8
38,2020-09-19,1.0496,48753,2.7383,1.608805016,38.3
39,2020-09-26,1.0496,48271,2.705,1.577043227,38.8
40,2020-10-03,1.0406,47545,2.6581,1.554346747,39.1
41,2020-10-10,1.0406,47182,2.6317,1.528959101,39.5
42,2020-10-17,1.0406,47567,2.647,1.543661573,39.3
43,2020-10-24,1.0406,46727,2.5942,1.492913509,40.1
44,2020-10-31,0.9774,45431,2.5163,1.574459109,38.8
45,2020-11-07,0.9774,44986,2.4858,1.543267642,39.3
46,2020-11-14,0.9774,44963,2.4787,1.535995949,39.4
47,2020-11-21,0.9774,43839,2.4111,1.466778159,40.5
48,2020-11-28,0.9774,39912,2.1899,1.240509077,44.6
49,2020-12-05,0.881,42529,2.328,1.6,37.8
50,2020-12-12,0.881,41810,2.2832,1.6,38.6
51,2020-12-19,0.881,39787,2.1676,1.5,40.6
52,2020-12-26,0.881,36216,1.9683,1.2,44.8
53,2021-01-02,0.9891,35039,1.8998,0.9,52.1
1,2021-01-09,0.9891,38997,2.3776,1.4,41.6
2,2021-01-16,0.9891,39213,2.3857,1.4,41.5
3,2021-01-23,0.9891,37986,2.3061,1.3,42.9
4,2021-01-30,0.9891,36937,2.2377,1.3,44.2
5,2021-02-06,0.9811,36013,2.177,1.2,45.1
6,2021-02-13,0.9811,36153,2.1808,1.2,45
7,2021-02-20,0.9811,35599,2.1427,1.2,45.8
8,2021-02-27,0.9811,34238,2.0564,1.1,47.7
9,2021-03-06,1.0659,35274,2.114,1,50.4
10,2021-03-13,1.0659,34736,2.0773,0.9,51.3
11,2021-03-20,1.0659,34155,2.0381,0.9,52.3
12,2021-03-27,1.0659,31929,1.9011039200070456,0.7835668636898823,56.067424236127486
