Date,Covid-19 Hospitalizations Index,Unemployment Claims Index,Home Sales Index,Rental Inventory Index,Subway Mobility Index,Restaurant Reservations Index
2020-01-04,16.7,16.8,14.6,16.1,15.8,16.7
2020-01-11,16.7,15.5,19.4,16.1,16.9,16.7
2020-01-18,16.7,15.5,19,16.2,16.7,16.7
2020-01-25,16.7,16.2,17.9,16.6,17.3,16.7
2020-02-01,16.7,18.4,18.2,16.3,17.2,16.7
2020-02-08,16.7,19.3,19.9,16.6,16.6,16.7
2020-02-15,16.7,15.8,17.1,16.3,16.6,16.7
2020-02-22,16.7,16.6,15.4,16,16.4,16.7
2020-02-29,16.7,16.2,19.1,15,16.5,17.1
2020-03-07,13.7,16.4,16.3,15.6,16.5,15.1
2020-03-14,7.6,15.1,14.6,15.5,12.9,10.4
2020-03-21,3.9,2.3,8.2,14.3,5.2,1.3
2020-03-28,1.9,0.6,4.8,13.1,2.1,0
2020-04-04,1.3,0.6,3.8,13.2,1.5,0
2020-04-11,1.5,0.5,4,13.2,1.3,0
2020-04-18,2.4,0.9,3.5,13.7,1.3,0
2020-04-25,3.6,1,3.6,14.7,1.5,0
2020-05-02,4.7,2.3,2.9,15.7,1.4,0
2020-05-09,5.6,0.9,2.7,15.6,1.6,0
2020-05-16,6.5,0.7,3.8,14.4,1.7,0
2020-05-23,7.1,0.9,4.1,13.3,1.8,0.1
2020-05-30,7.6,2,3.7,12.7,2.1,0.1
2020-06-06,8,2,5.7,11.7,2.1,0.1
2020-06-13,8.3,1.9,5.7,10.9,2.5,0.1
2020-06-20,8.5,1.9,6.9,10.4,2.9,0.1
2020-06-27,8.7,2.3,5.9,9.8,3.1,0.6
2020-07-04,9,3.3,7.9,9.5,4,1.1
2020-07-11,8.9,4.1,10.1,8.7,3.6,0.9
2020-07-18,9,2,11.9,8.4,4,1.5
2020-07-25,9.3,1.9,13.8,8.3,4,1.4
2020-08-01,9.3,2.2,15.6,7.9,4.1,1.7
2020-08-08,9.4,3.2,15,7.5,4.1,1.8
2020-08-15,9.4,2.8,20.8,7.3,4.4,2.2
2020-08-22,9.4,4.3,20.4,7.3,4.5,2.7
2020-08-29,9.7,3.2,21.6,7.3,4.5,2.7
2020-09-05,9.9,2.3,21.4,6.5,4.7,3.1
2020-09-12,9.9,2.6,18,6.5,5.1,3.2
2020-09-19,9.5,2,22.9,6.4,4.9,3.2
2020-09-26,9.4,2.1,18.1,6.5,5,3.5
2020-10-03,9,2.3,19.5,6.5,5.3,3.8
2020-10-10,8.7,2.7,24.1,6.6,5.4,4.2
2020-10-17,8.5,2.8,19.3,6.6,5.2,3.7
2020-10-24,8.4,3,21.2,6.7,5.3,4.2
2020-10-31,8.8,3.6,21.6,6.5,5.3,3.5
2020-11-07,8.4,4.4,18.8,6.6,5.1,3.2
2020-11-14,7.9,4.3,19.8,6.6,5.5,3.8
2020-11-21,7.1,4.2,19.1,6.8,5.3,3.2
2020-11-28,6.8,4,20.3,7.4,5.5,2.7
2020-12-05,6.1,4.6,20.9,6.3,5,2.4
2020-12-12,5.6,3.1,23.6,6.4,5,1.8
2020-12-19,5.5,5,23.9,6.8,4.8,1.2
2020-12-26,5.2,4.6,27.3,7.5,5.6,1.3
2021-01-02,5.1,12.7,25.1,8.7,5.5,2
2021-01-09,4.9,4.2,27.6,6.9,5,1.4
2021-01-16,4.5,4.6,24.1,6.9,5.3,1.8
2021-01-23,4.5,3.7,22.4,7.1,5.6,2.1
2021-01-30,4.7,3.4,21.3,7.3,5,1.4
2021-02-06,4.6,4.1,22,7.4,4.6,1.3
2021-02-13,4.7,4.1,25.2,7.4,5.3,1.7
2021-02-20,5,5,28.7,7.5,5.5,3.8
2021-02-27,4.8,9.2,26.9,7.8,5.5,3.9
2021-03-06,5.2,5.2,27,8.3,5.7,3.7
2021-03-13,5.2,6.1,28.5,8.4,5.8,4.1
2021-03-20,5.4,4.7,26.7,8.5,5.8,3.7
2021-03-27,5.1793308245449685,4.343153787653342,28.333333333333332,9.344570706021248,5.966666666666665,4.291666666666667
2021-04-03,5.428065124124345,3.2999900094909838,24.224806201550383,9.790082887740192,5.538095238095241,4.040952380952381
2021-04-10,5.681503069318013,3.725361366622865,28.064516129032256,9.401653484203587,6.035714285714287,4.966666666666666
2021-04-17,5.980474634329085,5.395653956539565,27.13347921225383,9.585610304671752,5.945238095238094,3.6895238095238105
